cycle,tile_id,label,right_faction,front_faction,front_confidence,front_margin,back_faction,back_confidence,back_margin,front_back_agree,needs_review,template_source,preview_path,note
c2,083,083,symmachy,symmachy,1.000,0.516,symmachy,1.000,0.602,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-083.png,
c2,084,084,symmachy,symmachy,0.717,0.230,symmachy,0.635,0.292,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-084.png,
c3,079,079,,delphians,0.527,0.027,delphians,0.439,0.055,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-079.png,
c3,082,082,,delphians,0.520,0.045,delphians,0.414,0.012,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-082.png,
c3,067,067,,delphians,0.492,0.014,delphians,0.427,0.040,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-067.png,
c3,071,071,,delphians,0.468,0.024,delphians,0.429,0.010,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-071.png,
c3,081,081,,delphians,0.484,0.079,delphians,0.438,0.083,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-081.png,
c3,086,086,,twilightWatch,0.512,0.004,delphians,0.449,0.062,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-086.png,
c3,091,091,,delphians,0.436,0.046,delphians,0.440,0.088,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-091.png,
c3,066,066,,delphians,0.472,0.018,delphians,0.419,0.019,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-066.png,
c3,070,070,,delphians,0.450,0.065,delphians,0.470,0.123,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-070.png,
c3,008,008,,delphians,0.701,0.244,delphians,0.435,0.084,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-008.png,
c3,073,073,,twilightWatch,0.487,0.003,twilightWatch,0.529,0.117,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-073.png,
c3,085,085,,twilightWatch,0.533,0.053,delphians,0.459,0.121,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-085.png,
c3,013,013,,delphians,0.504,0.135,delphians,0.449,0.022,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-013.png,
c3,090,090,,delphians,0.458,0.037,delphians,0.443,0.125,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-090.png,
c3,016,016,,delphians,0.445,0.054,delphians,0.451,0.009,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-016.png,
c3,034,034,,twilightWatch,0.500,0.023,delphians,0.428,0.044,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-034.png,
c3,055,055,,delphians,0.457,0.062,delphians,0.438,0.085,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-055.png,
c3,039,039,,delphians,0.547,0.089,delphians,0.362,0.069,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-039.png,
c3,057,057,,twilightWatch,0.494,0.025,delphians,0.407,0.013,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-057.png,
c3,007,007,,delphians,0.656,0.187,delphians,0.449,0.126,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-007.png,
c3,042,042,,delphians,0.440,0.087,delphians,0.453,0.094,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-042.png,
c3,059,059,,delphians,0.481,0.013,delphians,0.417,0.011,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-059.png,
c3,072,072,,delphians,0.640,0.193,delphians,0.479,0.125,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-072.png,
c3,047,047,,delphians,0.440,0.011,delphians,0.440,0.100,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-047.png,
c3,075,075,,delphians,0.654,0.223,delphians,0.455,0.130,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-075.png,
c3,027,027,,delphians,0.527,0.047,delphians,0.395,0.007,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-027.png,
c3,033,033,,delphians,0.480,0.002,delphians,0.427,0.005,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-033.png,
c3,054,054,,twilightWatch,0.475,0.033,sunheirs,0.500,0.042,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-054.png,
c3,003,003,,delphians,0.480,0.013,delphians,0.444,0.081,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-003.png,
c3,038,038,,delphians,0.490,0.032,delphians,0.396,0.031,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-038.png,
c3,006,006,,delphians,0.630,0.187,delphians,0.402,0.073,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-006.png,
c3,015,015,,delphians,0.445,0.016,delphians,0.450,0.015,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-015.png,
c3,058,058,,twilightWatch,0.483,0.017,delphians,0.400,0.019,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-058.png,
c3,022,022,,delphians,0.459,0.085,delphians,0.416,0.084,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-022.png,
c3,024,024,,delphians,0.691,0.250,delphians,0.408,0.123,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-024.png,
c3,046,046,,delphians,0.638,0.220,delphians,0.418,0.115,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-046.png,
c3,074,074,,delphians,0.598,0.136,delphians,0.382,0.114,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-074.png,
c3,026,026,,twilightWatch,0.483,0.001,twilightWatch,0.450,0.022,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-026.png,
c3,028,028,,delphians,0.475,0.093,delphians,0.340,0.050,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-028.png,
c3,051,051,,delphians,0.671,0.223,delphians,0.470,0.135,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-051.png,
c3,078,078,,delphians,0.678,0.201,delphians,0.418,0.126,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-078.png,
c3,031,031,,delphians,0.565,0.111,delphians,0.375,0.015,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-031.png,
c3,053,053,,twilightWatch,0.499,0.021,delphians,0.407,0.061,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-053.png,
c3,002,002,,delphians,0.475,0.077,delphians,0.443,0.063,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-002.png,
c3,037,037,,delphians,0.461,0.051,delphians,0.372,0.051,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-037.png,
c3,089,089,,delphians,0.490,0.057,delphians,0.432,0.098,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-089.png,
c3,005,005,,delphians,0.665,0.184,delphians,0.459,0.148,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-005.png,
c3,018,018,,delphians,0.657,0.132,delphians,0.392,0.102,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-018.png,
c3,041,041,,delphians,0.448,0.084,delphians,0.437,0.093,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-041.png,
c3,012,012,,delphians,0.488,0.024,twilightWatch,0.675,0.256,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-012.png,
c3,021,021,,twilightWatch,0.519,0.026,twilightWatch,0.501,0.091,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-021.png,
c3,023,023,,delphians,0.496,0.009,delphians,0.438,0.030,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-023.png,
c3,045,045,,delphians,0.669,0.201,delphians,0.416,0.125,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-045.png,
c3,025,025,,delphians,0.637,0.224,delphians,0.415,0.104,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-025.png,
c3,050,050,,delphians,0.696,0.223,delphians,0.416,0.127,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-050.png,
c3,077,077,,delphians,0.691,0.202,delphians,0.445,0.166,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-077.png,
c3,030,030,,delphians,0.616,0.160,delphians,0.381,0.084,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-030.png,
c3,032,032,,delphians,0.667,0.213,delphians,0.390,0.100,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-032.png,
c3,065,065,,twilightWatch,0.474,0.039,delphians,0.420,0.001,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-065.png,
c3,001,001,,delphians,0.456,0.024,sunheirs,0.467,0.015,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-001.png,
c3,036,036,,delphians,0.476,0.069,delphians,0.379,0.055,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-036.png,
c3,069,069,,delphians,0.452,0.056,delphians,0.392,0.095,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-069.png,
c3,088,088,,delphians,0.493,0.079,delphians,0.451,0.007,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-088.png,
c3,333,333,none,delphians,0.405,0.062,none,0.332,0.037,,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-333.png,special_no_faction
c3,004,004,,delphians,0.633,0.169,delphians,0.474,0.153,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-004.png,
c3,017,017,,delphians,0.490,0.019,twilightWatch,0.491,0.077,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-017.png,
c3,011,011,,delphians,0.633,0.164,delphians,0.450,0.181,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-011.png,
c3,020,020,,delphians,0.502,0.054,delphians,0.441,0.115,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-020.png,
c3,044,044,,delphians,0.681,0.224,delphians,0.492,0.198,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-044.png,
c3,049,049,,delphians,0.666,0.185,delphians,0.440,0.109,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-049.png,
c3,076,076,,delphians,0.569,0.169,delphians,0.415,0.115,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-076.png,
c3,029,029,,delphians,0.474,0.097,delphians,0.352,0.047,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-029.png,
c3,080,080,,delphians,0.671,0.202,delphians,0.446,0.136,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-080.png,
c3,084,084,,delphians,0.620,0.190,delphians,0.413,0.097,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-084.png,
c3,062,062,,delphians,0.490,0.027,delphians,0.419,0.022,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-062.png,
c3,064,064,,delphians,0.498,0.046,delphians,0.439,0.092,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-064.png,
c3,035,035,,delphians,0.608,0.145,delphians,0.364,0.034,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-035.png,
c3,068,068,,delphians,0.463,0.104,delphians,0.318,0.029,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-068.png,
c3,087,087,,delphians,0.495,0.006,delphians,0.426,0.021,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-087.png,
c3,040,040,,delphians,0.620,0.149,delphians,0.420,0.099,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-040.png,
c3,010,010,,twilightWatch,0.459,0.001,twilightWatch,0.473,0.042,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-010.png,
c3,019,019,,delphians,0.609,0.200,delphians,0.415,0.132,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-019.png,
c3,043,043,,delphians,0.505,0.035,twilightWatch,0.464,0.037,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-043.png,
c3,048,048,,delphians,0.460,0.063,delphians,0.434,0.098,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-048.png,
c3,052,052,,twilightWatch,0.572,0.119,delphians,0.420,0.066,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-052.png,
c3,056,056,,twilightWatch,0.479,0.013,delphians,0.443,0.028,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-056.png,
c3,060,060,,delphians,0.509,0.027,delphians,0.442,0.043,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-060.png,
c3,083,083,,delphians,0.662,0.221,delphians,0.443,0.153,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-083.png,
c3,061,061,,delphians,0.469,0.000,delphians,0.430,0.064,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-061.png,
c3,063,063,,delphians,0.473,0.035,twilightWatch,0.650,0.243,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-063.png,
c3,009,009,,delphians,0.462,0.007,delphians,0.400,0.010,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-009.png,
c3,014,014,,delphians,0.523,0.026,delphians,0.424,0.054,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c3-014.png,
