key,cycle,card_id,name,image_path,automation_bucket,base_effect_type,base_amount,base_target,base_resource_key,base_resource_name,base_raw_text,conditional_effects,requires_choice,choice_prompt,requires_state_check,state_key,timing,can_apply_automatically,confidence,needs_icon_review,notes,ocr_full
c2:13636,c2,13636,Black Sludge,D:\download\ato2\ATO\assets\exploration-cards\c2\13636.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,Ae ELIE / BLACK SLUDGE / ”随机确定一个方向。在你们 / 当前地图板块的所选方向侧 / UREN iar. / 所有从当前板块通往该方向 / 的水路被封锁。 / 下一次定时战斗后弃置此 / ID or Gain +1 A. / 移出卡组直到 re / Remove until the next / '   BB1250         Timeline Battle.
c2:13637,c2,13637,Cackle,D:\download\ato2\ATO\assets\exploration-cards\c2\13637.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,Ar / 人 IB / GED Resolve an additional 的) / Tt is ae Ate ay ee / 人                        六 / 移出 sa ww:间 / Remove until the next / '   BB1243       Timeline Battle.                人
c2:13638,c2,13638,Private Lesson,D:\download\ato2\ATO\assets\exploration-cards\c2\13638.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,"私人授课 / PRIVATE LESSON / Atthe end of the current / step, go to the Cruel / - Lesson Battle. / QED At the start of this / battle, Escalate 1. / 永久移出卡组 / Remove from the deck / '   BB1252        permanently."
c2:13639,c2,13639,Moral Erosion,D:\download\ato2\ATO\assets\exploration-cards\c2\13639.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,道德侵蚀 / MORAL EROSION / Gain +1 A or lose -1 / Humanity. / @JE Gain +1 V’. / @/I® Gain +1 V. / 移出卡组直到 re 3 / Remove until the next /    BB1249       Timeline Battle.               f
c2:13640,c2,13640,Smugglers,D:\download\ato2\ATO\assets\exploration-cards\c2\13640.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,"iz, / gS g / R 疙 / 局 与 = / SO / REX SD / Ned  = / 5Se9 / egos / Z2EB / px    SEs / 2    w= E90   SS / J  o    On  Ae / x  g    AS ro  42 5 / E    wise =  = / Ls    th / f  =    Sad  tw & / RGD   = / °    So 二  RS / 2     aS fe)   4 = / = o  EOES  | 二 / ma (=) 2 335   E / pape eS  Cs / 以  oO 二 Fre a0  mS / LL)  S 总 L2535  Ke / Sp2eTS5 200  i / UO  Gs SOR  ms / oes l= ofS 、  se / ae ea5ee  Qs / 5 2ese ces  ve / = Beets sa   : / WD  = pb 5§sze / wp EE ASSOnS / bees VEE / S SRGELROS / BS=Scsouss   8 / eRe oe  a>>   al / mee SLO   = / oO / oa)"
c2:13641,c2,13641,Spy Network,D:\download\ato2\ATO\assets\exploration-cards\c2\13641.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,[ea] Fe DZ / Spy NETWORK / Gain +1. /  Roll a d10. On 8+ / gain +1 cb. / 移出卡组直到 errr / Remove until the next / |   BB1242       Timeline Battle.               f
c3:13500,c3,13500,,D:\download\ato2\ATO\assets\exploration-cards\c3\13500.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,深渊聆听 / ABYSS LISTENS / Gain 2 Skin of Malice / resources. / CEM Gain +1 A as / a group. / CB1639
c3:13501,c3,13501,,D:\download\ato2\ATO\assets\exploration-cards\c3\13501.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,ARE BY A Hie J / PREESCHATON / FOUNDRY / Gain 2 Daedalus Makina / resources. / Cites» Gain 1 Daedalus / Makina resource instead. / CB1643
c3:13502,c3,13502,,D:\download\ato2\ATO\assets\exploration-cards\c3\13502.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,ain Al) ET AH ES / TEMPLE OF HELIOS / Gain 2 Sirenshell / resources. /  Gain +1 as / a group.
c3:13503,c3,13503,,D:\download\ato2\ATO\assets\exploration-cards\c3\13503.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,深渊诉这 / ABYSS SPEAKS / Gain 2 Living Abyss / resources. /       fm Gain 3 Living / Abyss resources instead. / CB1636
c3:13504,c3,13504,,D:\download\ato2\ATO\assets\exploration-cards\c3\13504.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,的 /            IDDEN / WORKSHOP / Gain 1 Daedalus Makina / resource. / CE Gain 2 Daedalus / Makina resources instead. / CB1642
c3:13505,c3,13505,,D:\download\ato2\ATO\assets\exploration-cards\c3\13505.png,base-auto,gain_resource,1,argo_resources,,Sirenshell,Gain 1 Sirenshell resource,,no,,yes,,on_settle,yes,medium,yes,,ar Fl) RE AR SS / SHRINE TO HELIOS / Gain 1 Sirenshell resource. /  Gain 2 Sirenshell / resources instead. / CB1644
c3:13506,c3,13506,,D:\download\ato2\ATO\assets\exploration-cards\c3\13506.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,ABYSS COMMANDS / Gain 2 Living Abyss / resources. /  Gain +1 Qas / a group. Gain as manyA / as a group as you have / total Q as a group. / CB1638
c3:13507,c3,13507,,D:\download\ato2\ATO\assets\exploration-cards\c3\13507.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,深渊低语 / ABYSS WHISPERS / Gain 1 Living Abyss / resource. / GET Gain 2 Living / Abyss resources instead. / CB1637              :
c3:13508,c3,13508,,D:\download\ato2\ATO\assets\exploration-cards\c3\13508.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,RA RET RRR / TEMPLE OF FIELIOS / Gain 2 Sirenshell / resources. /  Gain +1 as / a group. / re
c3:13509,c3,13509,,D:\download\ato2\ATO\assets\exploration-cards\c3\13509.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,FRA RSG / HYPERBOREAN / RUINS / Gain 2 Hyperborean Alloy / resources. /  Gain +1 A. as / a group. / CB1666
c3:13510,c3,13510,,D:\download\ato2\ATO\assets\exploration-cards\c3\13510.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,代达罗斯考古工坊 / AXEDALUS / ARCHARTIFICERY / Gain 3 Daedalus Makina / resources. /  Gain +1 (once / until the next Timeline / Battle). . / CB1669           —
c3:13511,c3,13511,,D:\download\ato2\ATO\assets\exploration-cards\c3\13511.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,32 -E AN EIA B35 aR / SIREN TEM PLE OF / HYPERION / Gain 3 Sirenshell / resources. /  Gain 1 Antedeluvian / Sirenshell Rare resource. / CB1676
c3:13512,c3,13512,,D:\download\ato2\ATO\assets\exploration-cards\c3\13512.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,BYSS / CONTEMPLATES / Gain 1 Skin of Malice / resource. /  Gain +1 A as / a group. / CB1641
c3:13513,c3,13513,,D:\download\ato2\ATO\assets\exploration-cards\c3\13513.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,远古仓库 / ANCIENT / REPOSITORY / Gain 3 Hyperborean Alloy / resources. / GE Lose -1 Titan. / CB1664          7
c3:13514,c3,13514,,D:\download\ato2\ATO\assets\exploration-cards\c3\13514.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,远古仓库 / ANCIENT / REPOSITORY / Gain 3 Hyperborean Alloy / resources. /  Lose -1 €. / 了
c3:13515,c3,13515,,D:\download\ato2\ATO\assets\exploration-cards\c3\13515.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,AR IR SASF Bo) SAFE Hee / PORCOTIEN TEMPLE / OF IAPETUS  - / Gain 2 Sirenshell / resources. /  Place 1 ¥ on Inward / Odyssey (once until the / next Timeline Battle). / CB1675
c3:13516,c3,13516,,D:\download\ato2\ATO\assets\exploration-cards\c3\13516.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,At XA 图记忆 / HYPERBOREAN / LIBRARY / Gain 4 Hyperborean Alloy / resources. /  Gain +1 A as / a group. / CB1663
c3:13517,c3,13517,,D:\download\ato2\ATO\assets\exploration-cards\c3\13517.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Coe eee / RAND IHOLOS / OF HELIOS / Gain 4 Sirenshell / resources. /  Gain +1 A. / CB1674          |
c3:13518,c3,13518,,D:\download\ato2\ATO\assets\exploration-cards\c3\13518.png,base-auto,gain_resource,1,argo_resources,,Sirenshell,Gain 1 Sirenshell resource,,no,,yes,,on_settle,yes,medium,yes,,‘bak Fl) RT A SE / SHRINE TO HELIOS / Gain 1 Sirenshell resource. /  Gain 2 Sirenshell / resources instead. / CB1645
c3:13519,c3,13519,,D:\download\ato2\ATO\assets\exploration-cards\c3\13519.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,冻士人网书馆 / HYPERBOREAN / LIBRARY / Gain 4 Hyperborean Alloy / resources. /  Lose -1 YW. / CB1662
c3:13520,c3,13520,,D:\download\ato2\ATO\assets\exploration-cards\c3\13520.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Dey (aT eae / AEDALUS / ARCHARTIFICERY / Gain 3 Daedalus Makina / resources. /  Gain +1 ¥. / CB1670            /
c3:13521,c3,13521,,D:\download\ato2\ATO\assets\exploration-cards\c3\13521.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,City tee / RAND TEMPLE / OF HELIOS / Gain 3 Sirenshell / resources. / You may gain +3 YW to / gain +1 Priest. / CB1673           wo
c3:13522,c3,13522,,D:\download\ato2\ATO\assets\exploration-cards\c3\13522.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,深渊思虑 / ABYSS / CONTEMPLATES / Gain 1 Skin of Malice / resource. /  Gain 2 Skin of / Malice resources instead. / CB1640
c3:13523,c3,13523,,D:\download\ato2\ATO\assets\exploration-cards\c3\13523.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,毁坏 和 / RUINED FIYYPERBOREAN / METROPOLIS / Gain 5 Hyperborean Alloy / resources. /  Lose -1 %. / CB1661
c3:13524,c3,13524,,D:\download\ato2\ATO\assets\exploration-cards\c3\13524.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,青铀人军哈室 / BRONZE PEOPLE / LABORATORY / Gain 5 Daedalus Makina / resources. / OST Gain +16. / CB1671             )
c3:13525,c3,13525,,D:\download\ato2\ATO\assets\exploration-cards\c3\13525.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,7 AME Be / YPERBOREAN / TEMPLE OF CRONUS / Gain 5 Sirenshell / resources. /  Gain +116. / CB1672           i
c3:13526,c3,13526,,D:\download\ato2\ATO\assets\exploration-cards\c3\13526.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,飞空摇篮 / SOARING CRADLE / Gain 6 Hyperborean Alloy / resources. /  Gain +1 VW. / CB1665
c3:13527,c3,13527,,D:\download\ato2\ATO\assets\exploration-cards\c3\13527.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,冻本人的柯罗诸斯神殿 / FIVBERBOREAN / TEMPLE OF CRONUS / Gain 5 Sirenshell / resources. / Grey Gain 1 Daedalus / Makina resource.
c3:13528,c3,13528,,D:\download\ato2\ATO\assets\exploration-cards\c3\13528.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,#18 / TITAN / Gain +1 Titan. /  Gain +1 Qasa / group.
c3:13529,c3,13529,,D:\download\ato2\ATO\assets\exploration-cards\c3\13529.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,未驯服的泰坦 / UNTAMED TITAN / Gain +1 Titan. /  Gain +1Qasa / group. / (ss BLOG| gyccite sa RR
c3:13530,c3,13530,,D:\download\ato2\ATO\assets\exploration-cards\c3\13530.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,4而 777 / 德尔菲人舰队 / DELPHIAN FLEET / Resolve an effect based on your / Diplomacy with Delphians. / LD Gain +1 Y. / GIETIND Gain +1 Titan. / 人uc多Each Argonaut gains +1 A. / CONTEND Gain +1 YY. / X Denounced J Lose -1 Titan. /  Lose -1€. / 7/74) Random Argonaut gains 1 / Fated Mnemos card. / (32) 移出上组直到下一次定肝战斗 8 / Remove until the next / CB1658           Timeline Battle.
c3:13531,c3,13531,,D:\download\ato2\ATO\assets\exploration-cards\c3\13531.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,Teaver / WILIGHT / PATHFINDER / Resolve an effect based on your / Diplomacy with the Twilight Watch. / CNT) Gain +1 %. /  Gain +1 Frozen Time. / CEMED Gain +1’. / ’ Unfriendly Senna SS /  Gain +218. /  Lose -1X. / W774) Random Argonaut gains 1 / Fated Mnemos card. / Remove until the next / CB1659           Timeline Battle.
c3:13532,c3,13532,,D:\download\ato2\ATO\assets\exploration-cards\c3\13532.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,HELIAN HOLY / ADJUDICATORY / Resolve an effect based on your / Diplomacy. with the Sunheirs. / 《TRY Gain +1 and +1 1B. / 人 Friendly ) Place 1% on / Inward Odyssey. / ‘ Neutral Each Argonaut gains +1 出 / (CU Gain +1 YY. / Ores) Lose -1 XM or -1€. / GZ Gain +14. / CHEB Random Argonaut gains 1 / Fated Mnemos card. / Remove until the next / CB1660           Timeline Battle.
c3:13533,c3,13533,,D:\download\ato2\ATO\assets\exploration-cards\c3\13533.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"Ar / 人 es / CHEB Resolve an additional @). / 。 o  ec.    oem    ae  Re / ”了 Md            *            BY tte 号  , / 7   rf . = 。 Pos : eS is  ‘ / 移出卡组直到下一次定时战半 4 / Remove until the next / CB1651               Timeline Battle."
c3:13534,c3,13534,,D:\download\ato2\ATO\assets\exploration-cards\c3\13534.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"契订夫的太阳 / CHEKHOV'S SUN / @E Lose -1.Frozen Time and / either -1 ¥€ or -1 €. If this ability / didn't trigger, gain +1 iB. / @&® 有2张回忆卡 / 且回忆节点总数最多的 / 一名阿尔戈英雄将它的 / 回忆卡节点数量互相交换。 / 在之后的故事步骤中 / 结算因此导致的回忆突破。 / BiH KA BB R—KEA AAS ¢ / Remove until the next / CB1657            Timeline Battle."
c3:13535,c3,13535,,D:\download\ato2\ATO\assets\exploration-cards\c3\13535.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,he zt   损  、 / ENTROBY's / EMBRACE / Each Argonaut gains as many / W and/or A\ as you have IB. / Then lose -21B. / CHED or EID Lose -1 €. / BUKABE K—KEAT RA ¢ / Remove until the next / CB1656           Timeline Battle.
c3:13536,c3,13536,,D:\download\ato2\ATO\assets\exploration-cards\c3\13536.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"[AST-FORWARDED / @E Lose -218 and gain / +14. / If this ability didn't trigger, / gain +1 and remove this / card until the next Timeline / Battle. / KA BH KA / = 个 为移出 不组直到下一次定时战斗"
c3:13537,c3,13537,,D:\download\ato2\ATO\assets\exploration-cards\c3\13537.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,"恒 / 同    S 所 / BS ® / a ee   = 2 / AN  必] / SI =  Shs § = / maf, pfete S / > = oO <s 全 / = S 号RS / wae © 68 Segse & / Yo) 4 <x S88 5 / iS <6v 2 g / a 22, e5e55 & / a S258 8a se : / SSRESSL4GS 六 / md O55 Be ess 和 / C) eSecauges : / wes Farceey WU / EES BLO 5 / ASRS ROUND SAM l=  S / Doo AO Fe S / [一 CRO = OS 从一从 / See as e 有 / Zz  云云全SSS人法 / Fest ESSE 从 / <I SSS 45 0085 / PM SS Sa ee ES / > meeeee eee / ESSESESES / Ss aASBEGHS / Zz. eee oes / SPE AAO Seg 5 / & AQOmrke S / CO Sm est ees cae = / =  = / ston CQ / S)"
c3:13538,c3,13538,,D:\download\ato2\ATO\assets\exploration-cards\c3\13538.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"‘Alas / REWOUND / @IE® Lose -118 and return / to the previous tile (treat this / tile as. explored). / If this ability didn't trigger, / gain +1 [6 and remove this / card until the next Timeline / Battle. / 永久移出上组 / 7 AAG HH FEF K—-RE A ARAL"
c3:13539,c3,13539,,D:\download\ato2\ATO\assets\exploration-cards\c3\13539.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"间谍网络 / SPY NETWORK / Gain +1 ¥. / 《人mey Roll a d10. On 8+, / gain +1 cb. / 移出卡组直到下一次定时战半 8 / Remove until the next / CB1650               Timeline Battle."
c3:13540,c3,13540,,D:\download\ato2\ATO\assets\exploration-cards\c3\13540.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"ee [ol ig A / TIGHTENING THE / LOOP / @JED Lose -218 and lower / your Loop Length by 1. / If this ability didn't trigger, / gain + 1[63.and remove this / card until the next Timeline / Battle. / 永久移出卡组 / op ee 不组直到下一次定时战斗"
c3:13541,c3,13541,,D:\download\ato2\ATO\assets\exploration-cards\c3\13541.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"明日双绿 / TOMORROW'S / [EDGE / If on a $& Map Tile: Gain +1. / @E See the Tomorrow's / Edge special event. / If this ability didn't trigger, / gain +1[$ and remove this / card until the next Timeline / Battle. / KABA / 移出卡组直到下一次定肝战斗 / CB1652"
